"Driver Name","Start Date","End Date","Total Time On Job","Total Drops","Total Jobs",Days,"Total Miles","Daily Drop Rate","Average Speed","Average Time Per Drop"
Nishant,01-01-2018,28-11-2018,02:52,124,124,331,N/A,1,N/A,10:40
Roopesh,01-01-2018,28-11-2018,04:06,561,543,331,N/A,1.03,N/A,00:58
"Nikhil Kumar",01-01-2018,28-11-2018,14:06,61,61,331,N/A,1,N/A,23:50
shinchan,01-01-2018,28-11-2018,07:13,56,56,331,N/A,1,N/A,00:07
newtestdriver,01-01-2018,28-11-2018,18:33,304,298,331,N/A,1.02,N/A,00:03
testappstable,01-01-2018,28-11-2018,03:42,65,65,331,N/A,1,N/A,05:35
