"Driver Name","Start Date","End Date","Total Time On Job","Total Drops","Total Jobs",Days,"Total Miles","Daily Drop Rate","Average Speed","Average Time Per Drop"
Nishant,01-01-2018,06-12-2018,14:47,206,60,339,1108.23,3.43,0,01:50
Roopesh,01-01-2018,06-12-2018,01:34,223,88,339,462.21,2.53,0,03:50
"Nikhil Kumar",01-01-2018,06-12-2018,10:05,24,2,339,134.19,12,0,05:02
shinchan,01-01-2018,06-12-2018,05:22,3,1,339,6.96,3,0,05:22
newtestdriver,01-01-2018,06-12-2018,20:11,160,58,339,353.64,2.76,0,08:12
PDRDriver01,01-01-2018,06-12-2018,04:16,5,2,339,2.4,2.5,0,02:08
testappstable,01-01-2018,06-12-2018,18:50,108,14,339,212.05,7.71,0,16:46
